10.0, -15957.05379785494
10.02, -15849.374496294084
10.04, -15742.044016992979
10.06, -15635.061581986403
10.08, -15528.42641450523
10.1, -15422.137738975158
10.12, -15316.194781015642
10.14, -15210.596767438692
10.16, -15105.3429262477
10.18, -15000.432486636419
10.2, -14895.864678987564
10.22, -14791.638734871944
10.24, -14687.753887047103
10.26, -14584.20936945625
10.28, -14481.004417227086
10.3, -14378.138266670736
10.32, -14275.610155280461
10.34, -14173.419321730602
10.36, -14071.565005875396
10.38, -13970.04644874786
10.4, -13868.862892558653
10.42, -13768.013580694853
10.44, -13667.497757718913
10.46, -13567.314669367363
10.48, -13467.463562549892
10.5, -13367.943685348058
10.52, -13268.754287014046
10.54, -13169.894617969767
10.56, -13071.363929805535
10.58, -12973.16147527902
10.6, -12875.286508314006
10.62, -12777.73828399941
10.64, -12680.51605858792
10.66, -12583.619089495056
10.68, -12487.046635297942
10.7, -12390.79795573416
10.72, -12294.872311700616
10.74, -12199.268965252457
10.76, -12103.987179601885
10.78, -12009.026219116975
10.8, -11914.38534932064
10.82, -11820.063836889429
10.84, -11726.060949652412
10.86, -11632.37595659004
10.88, -11539.008127833004
10.9, -11445.9567346611
10.92, -11353.221049502128
10.94, -11260.800345930751
10.96, -11168.693898667276
10.98, -11076.900983576706
11.0, -10985.420877667348
11.02, -10894.252859090033
11.04, -10803.396207136568
11.06, -10712.850202238973
11.08, -10622.61412596816
11.1, -10532.687261032828
11.120000000000001, -10443.068891278395
11.14, -10353.758301685768
11.16, -10264.754778370349
11.18, -10176.057608580813
11.2, -10087.666080697978
11.22, -9999.57948423375
11.24, -9911.797109829902
11.26, -9824.318249257092
11.28, -9737.142195413617
11.3, -9650.268242324251
11.32, -9563.695685139333
11.34, -9477.42382013338
11.36, -9391.451944704182
11.38, -9305.77935737159
11.4, -9220.40535777634
11.42, -9135.329246679044
11.44, -9050.550325959019
11.46, -8966.067898613139
11.48, -8881.881268754776
11.5, -8797.989741612619
11.52, -8714.392623529653
11.54, -8631.089221961913
11.56, -8548.078845477474
11.58, -8465.360803755262
11.6, -8382.934407584064
11.620000000000001, -8300.79896886117
11.64, -8218.953800591567
11.66, -8137.398216886577
11.68, -8056.131532962871
11.7, -7975.15306514129
11.72, -7894.462130845815
11.74, -7814.058048602397
11.76, -7733.940138037811
11.78, -7654.107719878681
11.8, -7574.560115950182
11.82, -7495.29664917507
11.84, -7416.316643572543
11.86, -7337.619424257122
11.88, -7259.2043174375285
11.9, -7181.070650415568
11.92, -7103.217751585151
11.94, -7025.644950430971
11.96, -6948.351577527545
11.98, -6871.3369645380735
12.0, -6794.600444213429
12.02, -6718.141350390797
12.04, -6641.959017992849
12.06, -6566.052783026535
12.08, -6490.421982581887
12.1, -6415.065954831123
12.120000000000001, -6339.984039027302
12.14, -6265.175575503454
12.16, -6190.639905671298
12.18, -6116.376372020299
12.2, -6042.384318116368
12.22, -5968.663088601039
